expname blocknr subjectnr cond item pagenr code code2 ffdur ffqual ffbck ffin ffout rpdur rpqual rpcnt rpsacc rpout tgdur tgqual tgcnt tgsacc tgout gdur gqual gcnt gsacc gbck gout totfixdur totfixcnt NumFixQualNot0 totfixQual0dur totfixQual0cnt
eye 11 9 EEN_MIS_MIS 028 1 1 0 224 1 0 74 14 1944 1 7 88 22 1944 1 7 88 22 1944 1 7 88 2 22 2400 8 1 2176 7
eye 11 9 EEN_MIS_MIS 028 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124 1 1 0 0
eye 11 9 EEN_MIS_MIS 028 1 3 0 176 0 0 22 20 2906 2 11 354 42 2030 2 9 146 164 772 6 4 54 1 164 1884 9 1 1764 8
eye 11 9 EEN_MIS_MIS 028 1 5 0 192 0 2 20 20 192 0 1 0 20 192 0 1 0 20 192 0 1 0 2 20 192 1 0 192 1
eye 11 9 EEN_MIS_MIS 028 1 6 0 200 0 2 20 18 200 0 1 0 18 200 0 1 0 18 200 0 1 0 2 18 562 3 0 562 3
eye 11 9 EEN_MIS_MIS 028 1 8 0 158 0 0 18 20 1448 0 6 114 24 1116 0 5 64 24 588 0 3 42 1 30 1052 5 0 1052 5
eye 11 9 EEN_MIS_MIS 028 1 9 0 172 0 0 24 16 566 0 4 86 56 430 0 3 30 56 430 0 3 30 1 56 400 3 0 400 3
eye 11 9 GEEN_MATCH_MATCH 025 2 1 0 254 0 0 0 20 590 2 2 20 20 590 2 2 20 20 590 2 2 20 2 20 1762 6 2 1032 4
eye 11 9 GEEN_MATCH_MATCH 025 2 2 0 132 2 2 20 144 132 6 1 0 144 132 6 1 0 144 132 6 1 0 2 144 522 3 1 390 2
eye 11 9 GEEN_MATCH_MATCH 025 2 3 0 178 1 1 144 18 1516 7 6 250 174 1012 3 4 192 174 178 3 1 0 1 18 1190 6 4 370 2
eye 11 9 GEEN_MATCH_MATCH 025 2 4 0 416 1 0 174 26 1264 7 4 90 48 910 1 3 42 48 910 1 3 42 1 48 1678 5 1 1262 4
eye 11 9 GEEN_MATCH_MATCH 025 2 5 0 200 1 0 166 10 3668 3 12 416 20 1492 3 6 68 20 570 7 2 10 1 196 1424 6 2 864 4
eye 11 9 GEEN_MATCH_MATCH 025 2 6 0 262 0 2 20 20 262 0 1 0 20 262 0 1 0 20 262 0 1 0 2 20 262 1 0 262 1
eye 11 9 GEEN_MATCH_MATCH 025 2 8 0 306 0 0 20 16 752 0 3 34 18 752 0 3 34 18 752 0 3 34 2 18 718 3 0 718 3
eye 11 9 GEEN_MATCH_MATCH 025 2 9 0 168 0 1 18 54 404 0 2 54 54 168 0 1 0 54 168 0 1 0 1 54 168 1 0 168 1
eye 11 9 EEN_MATCH_MATCH 013 3 1 0 392 0 2 0 20 392 0 1 0 20 392 0 1 0 20 392 0 1 0 2 20 858 3 0 858 3
eye 11 9 EEN_MATCH_MATCH 013 3 2 0 224 0 2 20 18 224 0 1 0 18 224 0 1 0 18 224 0 1 0 2 18 394 2 0 394 2
eye 11 9 EEN_MATCH_MATCH 013 3 3 0 178 2 0 18 162 962 2 3 182 16 962 2 3 182 16 962 2 3 182 2 16 1744 7 2 1376 5
eye 11 9 EEN_MATCH_MATCH 013 3 4 0 236 0 0 16 14 1346 0 4 60 66 1346 0 4 60 66 1346 0 4 60 2 66 1774 6 0 1774 6
eye 11 9 EEN_MATCH_MATCH 013 3 5 0 426 0 0 66 22 924 0 3 40 22 924 0 3 40 22 924 0 3 40 2 22 1304 5 0 1304 5
eye 11 9 EEN_MATCH_MATCH 013 3 6 0 250 0 0 22 18 524 0 2 18 16 524 0 2 18 16 524 0 2 18 2 16 680 3 0 680 3
eye 11 9 EEN_MATCH_MATCH 013 3 8 0 210 0 0 16 20 482 0 2 20 24 482 0 2 20 24 482 0 2 20 2 24 676 3 0 676 3
eye 11 9 EEN_MATCH_MATCH 013 3 9 0 178 0 0 24 18 3796 0 16 440 52 478 0 3 18 58 326 0 2 18 1 58 460 3 0 460 3
eye 11 9 EEN_MIS_MIS 004 4 1 0 134 0 0 0 18 626 2 3 180 18 626 2 3 180 18 626 2 3 180 2 18 746 4 3 134 1
eye 11 9 EEN_MIS_MIS 004 4 2 0 552 0 2 18 28 552 0 1 0 28 552 0 1 0 28 552 0 1 0 2 28 752 2 0 752 2
eye 11 9 EEN_MIS_MIS 004 4 3 0 284 0 0 28 24 812 0 3 46 20 812 0 3 46 24 812 0 3 46 2 20 812 4 0 812 4
eye 11 9 EEN_MIS_MIS 004 4 5 0 366 0 0 20 10 1698 0 6 166 18 1698 0 6 166 52 1698 0 6 166 2 18 1878 8 0 1878 8
eye 11 9 EEN_MIS_MIS 004 4 6 0 260 0 2 18 18 260 0 1 0 18 260 0 1 0 18 260 0 1 0 2 18 658 3 0 658 3
eye 11 9 EEN_MIS_MIS 004 4 8 0 186 0 1 18 20 1358 0 6 106 20 608 0 3 28 20 186 0 1 0 1 20 580 3 0 580 3
eye 11 9 EEN_MIS_MIS 004 4 9 0 64 0 0 20 16 1170 2 6 254 148 314 2 2 16 148 314 6 2 16 1 148 298 2 1 64 1
eye 11 9 EEN_MATCH_MATCH 021 5 1 0 146 0 0 0 18 512 0 2 18 24 512 0 2 18 24 512 0 2 18 2 24 494 2 0 494 2
eye 11 9 EEN_MATCH_MATCH 021 5 2 0 178 0 2 24 22 178 0 1 0 22 178 0 1 0 22 178 0 1 0 2 22 178 1 0 178 1
eye 11 9 EEN_MATCH_MATCH 021 5 3 0 1004 0 2 22 42 1004 0 1 0 42 1004 0 1 0 42 1004 0 1 0 2 42 1264 2 0 1264 2
eye 11 9 EEN_MATCH_MATCH 021 5 5 0 182 0 0 42 20 414 0 2 20 22 414 0 2 20 22 414 0 2 20 2 22 394 2 0 394 2
eye 11 9 EEN_MATCH_MATCH 021 5 6 0 184 0 2 22 16 184 0 1 0 16 184 0 1 0 16 184 0 1 0 2 16 184 1 0 184 1
eye 11 9 EEN_MATCH_MATCH 021 5 8 0 172 0 0 16 14 644 0 3 38 22 644 0 3 38 22 644 0 3 38 2 22 606 3 0 606 3
eye 11 9 EEN_MATCH_MATCH 021 5 9 0 240 0 0 22 20 734 0 3 62 42 432 0 2 20 42 432 0 2 20 1 42 412 2 0 412 2
eye 11 9 EEN_MIS_MATCH 010 6 1 0 22 0 0 0 18 674 0 4 58 20 674 0 4 58 20 674 0 4 58 2 20 924 6 0 924 6
eye 11 9 EEN_MIS_MATCH 010 6 2 0 190 0 2 20 92 190 0 1 0 92 190 0 1 0 92 190 0 1 0 2 92 400 2 0 400 2
eye 11 9 EEN_MIS_MATCH 010 6 3 0 112 2 0 92 122 986 2 4 162 20 736 2 3 122 122 398 2 2 122 1 16 806 4 2 530 2
eye 11 9 EEN_MIS_MATCH 010 6 5 0 186 0 0 20 50 626 0 2 50 22 626 0 2 50 22 626 0 2 50 2 22 822 3 0 822 3
eye 11 9 EEN_MIS_MATCH 010 6 6 0 478 0 0 22 20 1460 0 6 96 22 1174 0 5 56 20 700 0 3 40 1 20 1118 5 0 1118 5
eye 11 9 EEN_MIS_MATCH 010 6 8 0 194 0 0 22 18 646 0 3 40 20 646 0 3 40 20 646 0 3 40 2 20 606 3 0 606 3
eye 11 9 EEN_MIS_MATCH 010 6 9 0 240 0 0 20 24 1306 0 7 182 64 686 0 4 62 14 686 0 4 62 1 64 624 4 0 624 4
eye 11 9 EEN_MATCH_MATCH 029 7 1 0 246 0 0 0 18 1478 0 4 48 20 1478 0 4 48 20 1478 0 4 48 2 20 2252 9 0 2252 9
eye 11 9 EEN_MATCH_MATCH 029 7 2 0 174 0 2 20 20 174 0 1 0 20 174 0 1 0 20 174 0 1 0 2 20 174 1 0 174 1
eye 11 9 EEN_MATCH_MATCH 029 7 3 0 166 0 0 20 20 1864 2 7 270 22 1864 2 7 270 30 1864 2 7 270 2 22 2864 14 6 1694 8
eye 11 9 EEN_MATCH_MATCH 029 7 5 0 284 0 0 22 90 1618 0 6 234 18 1358 0 5 160 18 790 0 3 102 1 18 1634 7 0 1634 7
eye 11 9 EEN_MATCH_MATCH 029 7 6 0 198 0 2 18 18 198 0 1 0 18 198 0 1 0 18 198 0 1 0 2 18 198 1 0 198 1
eye 11 9 EEN_MATCH_MATCH 029 7 8 0 176 0 0 18 18 792 0 3 40 26 792 0 3 40 26 792 0 3 40 2 26 752 3 0 752 3
eye 11 9 EEN_MATCH_MATCH 029 7 9 0 276 0 0 26 20 3728 2 17 610 58 838 0 4 62 58 838 0 4 62 1 58 776 4 0 776 4
eye 11 9 EEN_MATCH_MIS 011 8 1 0 138 0 0 0 18 474 0 2 18 22 474 0 2 18 22 474 0 2 18 2 22 456 2 0 456 2
eye 11 9 EEN_MATCH_MIS 011 8 2 0 346 0 2 22 22 346 0 1 0 22 346 0 1 0 22 346 0 1 0 2 22 346 1 0 346 1
eye 11 9 EEN_MATCH_MIS 011 8 3 0 352 0 0 22 20 976 0 4 60 22 976 0 4 60 20 976 0 4 60 2 22 916 4 0 916 4
eye 11 9 EEN_MATCH_MIS 011 8 5 0 268 0 0 22 46 844 0 3 62 20 844 0 3 62 20 844 0 3 62 2 20 782 3 0 782 3
eye 11 9 EEN_MATCH_MIS 011 8 6 0 184 0 2 20 22 184 0 1 0 22 184 0 1 0 22 184 0 1 0 2 22 596 4 0 596 4
eye 11 9 EEN_MATCH_MIS 011 8 8 0 298 0 0 22 12 1624 0 8 140 24 1246 0 6 84 24 782 0 4 60 1 18 1348 7 0 1348 7
eye 11 9 EEN_MATCH_MIS 011 8 9 0 204 0 1 24 20 780 0 4 94 52 410 0 2 0 20 204 0 1 0 1 20 410 2 0 410 2
eye 11 9 EEN_MIS_MATCH 002 9 1 0 244 0 0 0 12 432 0 2 12 18 432 0 2 12 18 432 0 2 12 2 18 586 3 0 586 3
eye 11 9 EEN_MIS_MATCH 002 9 2 0 298 0 2 18 30 298 0 1 0 30 298 0 1 0 30 298 0 1 0 2 30 470 2 0 470 2
eye 11 9 EEN_MIS_MATCH 002 9 3 0 264 0 0 30 22 1432 0 6 118 24 1024 0 4 48 26 660 0 3 48 1 16 1040 5 0 1040 5
eye 11 9 EEN_MIS_MATCH 002 9 5 0 232 0 0 24 44 798 0 4 72 24 798 0 4 72 24 798 0 4 72 2 24 726 4 0 726 4
eye 11 9 EEN_MIS_MATCH 002 9 6 0 198 0 2 24 18 198 0 1 0 18 198 0 1 0 18 198 0 1 0 2 18 198 1 0 198 1
eye 11 9 EEN_MIS_MATCH 002 9 8 0 168 0 0 18 16 736 0 3 36 22 736 0 3 36 22 736 0 3 36 2 22 700 3 0 700 3
eye 11 9 EEN_MIS_MATCH 002 9 9 0 280 0 0 22 22 638 0 3 70 48 526 0 2 22 48 526 0 2 22 1 48 504 2 0 504 2
eye 11 9 EEN_MATCH_MATCH 005 10 1 0 244 0 0 0 20 800 0 4 56 24 800 0 4 56 24 800 0 4 56 2 24 908 5 0 908 5
eye 11 9 EEN_MATCH_MATCH 005 10 2 0 650 0 2 24 20 650 0 1 0 20 650 0 1 0 20 650 0 1 0 2 20 850 2 0 850 2
eye 11 9 EEN_MATCH_MATCH 005 10 3 0 162 0 0 20 16 426 0 2 16 22 426 0 2 16 22 426 0 2 16 2 22 586 3 0 586 3
eye 11 9 EEN_MATCH_MATCH 005 10 4 0 218 2 0 22 148 2288 2 9 342 20 1830 2 7 260 20 980 2 4 186 1 34 1842 8 2 1508 6
eye 11 9 EEN_MATCH_MATCH 005 10 5 0 200 0 0 20 24 434 0 2 24 22 434 0 2 24 22 434 0 2 24 2 22 410 2 0 410 2
eye 11 9 EEN_MATCH_MATCH 005 10 6 0 200 0 2 22 18 200 0 1 0 18 200 0 1 0 18 200 0 1 0 2 18 200 1 0 200 1
eye 11 9 EEN_MATCH_MATCH 005 10 8 0 278 0 0 18 24 488 0 2 24 22 488 0 2 24 22 488 0 2 24 2 22 464 2 0 464 2
eye 11 9 EEN_MATCH_MATCH 005 10 9 0 206 0 1 22 60 746 0 3 104 60 206 0 1 0 60 206 0 1 0 1 60 206 1 0 206 1
eye 11 9 GEEN_MIS_MIS 024 11 1 0 28 0 0 0 14 470 0 3 28 20 470 0 3 28 20 470 0 3 28 2 20 442 3 0 442 3
eye 11 9 GEEN_MIS_MIS 024 11 2 0 226 0 2 20 16 226 0 1 0 16 226 0 1 0 16 226 0 1 0 2 16 226 1 0 226 1
eye 11 9 GEEN_MIS_MIS 024 11 3 0 192 0 0 16 18 888 0 4 60 22 888 0 4 60 22 888 0 4 60 2 22 1264 7 0 1264 7
eye 11 9 GEEN_MIS_MIS 024 11 4 0 192 2 0 22 128 1648 2 5 194 64 1648 2 5 194 64 1648 2 5 194 2 64 1728 6 2 1374 4
eye 11 9 GEEN_MIS_MIS 024 11 5 0 236 0 1 64 54 1140 0 4 132 18 754 0 3 20 18 236 0 1 0 1 54 734 3 0 734 3
eye 11 9 GEEN_MIS_MIS 024 11 6 0 290 0 0 18 18 642 0 2 18 18 642 0 2 18 18 642 0 2 18 2 18 624 2 0 624 2
eye 11 9 GEEN_MIS_MIS 024 11 8 0 186 0 0 18 18 394 0 2 18 22 394 0 2 18 22 394 0 2 18 2 22 376 2 0 376 2
eye 11 9 GEEN_MIS_MIS 024 11 9 0 246 0 1 22 44 1256 0 6 158 40 678 0 3 16 44 246 0 1 0 1 44 662 3 0 662 3
eye 11 9 GEEN_MIS_MIS 016 12 1 0 40 0 0 0 12 458 0 3 26 20 458 0 3 26 20 458 0 3 26 2 20 552 4 0 552 4
eye 11 9 GEEN_MIS_MIS 016 12 2 0 208 0 2 20 20 208 0 1 0 20 208 0 1 0 20 208 0 1 0 2 20 208 1 0 208 1
eye 11 9 GEEN_MIS_MIS 016 12 3 0 172 0 0 20 14 398 0 2 14 26 398 0 2 14 26 398 0 2 14 2 26 384 2 0 384 2
eye 11 9 GEEN_MIS_MIS 016 12 4 0 256 0 0 26 10 416 0 2 10 46 416 0 2 10 46 416 0 2 10 2 46 406 2 0 406 2
eye 11 9 GEEN_MIS_MIS 016 12 5 0 274 0 2 46 22 274 0 1 0 22 274 0 1 0 22 274 0 1 0 2 22 274 1 0 274 1
eye 11 9 GEEN_MIS_MIS 016 12 6 0 192 0 2 22 20 192 0 1 0 20 192 0 1 0 20 192 0 1 0 2 20 518 2 0 518 2
eye 11 9 GEEN_MIS_MIS 016 12 8 0 284 0 0 20 20 880 0 3 42 22 880 0 3 42 22 880 0 3 42 2 22 838 3 0 838 3
eye 11 9 GEEN_MIS_MIS 016 12 9 0 170 0 1 22 48 682 0 3 66 48 170 0 1 0 48 170 0 1 0 1 48 170 1 0 170 1
eye 11 9 GEEN_MIS_MATCH 006 13 1 0 236 0 0 0 16 662 6 3 34 138 662 6 3 34 138 662 6 3 34 2 138 628 3 1 396 2
eye 11 9 GEEN_MIS_MATCH 006 13 2 0 158 1 2 138 20 158 3 1 0 20 158 3 1 0 20 158 3 1 0 2 20 158 1 1 0 0
eye 11 9 GEEN_MIS_MATCH 006 13 3 0 360 0 2 20 30 360 0 1 0 30 360 0 1 0 30 360 0 1 0 2 30 960 4 0 960 4
